ncbi_tax_id,CC11CM0,CC11CM1,CC11CM10,CC11CM11,CC11CM12,CC11CM13,CC11CM14,CC11CM15,CC11CM16,CC11CM17,CC11CM18,CC11CM19,CC11CM2,CC11CM20,CC11CM21,CC11CM22,CC11CM23,CC11CM24,CC11CM25,CC11CM26,CC11CM27,CC11CM28,CC11CM29,CC11CM3,CC11CM30,CC11CM31,CC11CM32,CC11CM33,CC11CM34,CC11CM35,CC11CM36,CC11CM37,CC11CM38,CC11CM39,CC11CM4,CC11CM40,CC11CM41,CC11CM42,CC11CM43,CC11CM44,CC11CM45,CC11CM46,CC11CM47,CC11CM48,CC11CM49,CC11CM5,CC11CM50,CC11CM51,CC11CM52,CC11CM53,CC11CM54,CC11CM55,CC11CM56,CC11CM57,CC11CM58,CC11CM59,CC11CM6,CC11CM60,CC11CM61,CC11CM62,CC11CM63,CC11CM64,CC11CM65,CC11CM66,CC11CM67,CC11CM68,CC11CM69,CC11CM7,CC11CM70,CC11CM71,CC11CM72,CC11CM73,CC11CM74,CC11CM75,CC11CM76,CC11CM77,CC11CM78,CC11CM79,CC11CM8,CC11CM80,CC11CM81,CC11CM82,CC11CM83,CC11CM84,CC11CM85,CC11CM86,CC11CM87,CC11CM88,CC11CM89,CC11CM9,CC11CM90,CC11CM91,CC11CM92,CC11CM93,CC11CM94,CC11CM95,CC11CM96,CC11CM97,CC11CM98,CC11CM99
1033732,1777.0,,,,2990.0,,,,,,,,,,,,,,,,,,,,,,1605.0,,,,,,,,,3253.0,,,1371.0,,6242.0,,,5559.0,,,,,,,,,,,5079.0,,2329.0,,,,,,,,,,5444.0,1393.0,,,521.0,,,,469.0,,,,,,2545.0,1585.0,,,,,1452.0,,,,,,,,,,,,,
1096246,4.0,,,5.0,,,,4.0,,9.0,4.0,,16.0,,3.0,1.0,2.0,2.0,,,,,3.0,,8.0,,2.0,8.0,12.0,11.0,,6.0,,,,1.0,4.0,,,,,,13.0,6.0,,,3.0,13.0,2.0,4.0,6.0,6.0,2.0,13.0,,11.0,,21.0,,5.0,1.0,,,4.0,,2.0,7.0,12.0,,2.0,9.0,,,1.0,11.0,,1.0,,6.0,1.0,7.0,,4.0,1.0,,,20.0,,10.0,1.0,,6.0,,4.0,,,8.0,7.0,1.0,
113287,9.0,11.0,5.0,,,,,,11.0,,3.0,,,,,,,5.0,,,21.0,4.0,,,8.0,,,,,,,8.0,,,,4.0,3.0,1.0,3.0,6.0,12.0,,,5.0,,,8.0,10.0,11.0,,,4.0,11.0,,,,,,,,,,,,12.0,,,12.0,7.0,,4.0,,5.0,,,,8.0,8.0,4.0,2.0,,,8.0,,7.0,,24.0,,,,,,16.0,25.0,8.0,7.0,23.0,,16.0,8.0
1278306,1483.0,,,,,,,1813.0,,,,,,,,,,,,,780.0,,,,,,,,,,,,,,,288.0,,,,,,,,774.0,,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297424,46.0,75.0,41.0,50.0,9.0,,39.0,45.0,5.0,45.0,59.0,15.0,239.0,,,63.0,54.0,10.0,37.0,,74.0,3.0,,16.0,66.0,,22.0,73.0,,116.0,44.0,,64.0,40.0,,,,94.0,,73.0,,96.0,2.0,76.0,,,83.0,,19.0,,,,,140.0,,19.0,,,,26.0,36.0,47.0,37.0,,,,16.0,,,30.0,36.0,,,28.0,,,88.0,49.0,18.0,,51.0,83.0,71.0,,,145.0,,56.0,114.0,20.0,28.0,81.0,,73.0,,,,,,49.0
1297617,5.0,4.0,9.0,5.0,9.0,,,2.0,9.0,12.0,13.0,,,8.0,1.0,,,,,,,,,19.0,,,4.0,5.0,,,,12.0,2.0,3.0,,21.0,,,,,14.0,,7.0,,1.0,2.0,17.0,,7.0,18.0,,,15.0,,,,,2.0,6.0,,3.0,,,,,,8.0,1.0,,,,,,3.0,6.0,13.0,,11.0,,,10.0,5.0,3.0,17.0,,,12.0,28.0,,,9.0,4.0,,13.0,14.0,8.0,,32.0,4.0,14.0
1341694,692.0,,,,,,,,,,,,,,,,,,,,,,,183.0,,,,,,,,,,,,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.0,,,,,,,,,,,,,,,,,,,,,,,,
1356,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472417,27.0,,,,,,,,,,,,,,,127.0,,65.0,,137.0,,,,,,66.0,,,,269.0,77.0,,,86.0,,,,,64.0,,16.0,42.0,28.0,105.0,,,,,34.0,,,,,,,39.0,,,,44.0,19.0,,106.0,55.0,,,,,,,,,82.0,,,,,46.0,16.0,,,,,,,271.0,359.0,,,,,153.0,,132.0,,,40.0,,,
1509,289.0,,,,,392.0,,,,,,,,,,,,,,,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.0,,,,,,,,,,,,,,,
