newIndex,A_adcl,B_adcl,C_adcl,D_adcl,E_adcl
CC11CM81SCReeb34a221dca4dc5b0ca403cc9ac9bd3,7.000000000000002e-06,0.137668,0.021522,0.155496,0.204297
CC11CM99SCRce2d1fa684f340c68b6f3239c2de2521,9e-06,1e-05,0.21874,0.198498,0.294593
CC11CM7SCR9e29ef94a3604006b11d4566a917e44b,0.19412,0.097577,0.17946700000000002,0.287096,0.215959
CC11CM11SCR22fac7d980eb496c9258d2c043fb6ea0,0.05316,0.149998,0.097881,0.112167,0.065455
CC11CM34SCR39303fc7db3e46a0be0bc45364d289ff,7.000000000000002e-06,6e-06,0.126795,0.186934,0.267457
CC11CM43SCR0ec2aedc04494ff6a4b097655e41b702,6e-06,9e-06,0.141798,0.120516,0.260624
CC11CM96SCR4906ef0a121445c5955b525f7a111576,0.19412,0.097577,0.17946700000000002,0.287096,0.215959
CC11CM48SCR0158eefeaa2d482ba7fed682ad38ef12,7.000000000000002e-06,6e-06,0.240063,0.304686,0.278679
CC11CM30SCRdc281354d04842df88ca00f0c9c97838,0.068275,0.056326,0.007946,0.14688900000000002,0.204038
CC11CM57SCR7b655072dd15474eb5b87989ecc161b5,8e-06,0.056387,0.177335,0.299563,0.285071
CC11CM70SCRbc2247c3c857406ebe5067a1e19648a2,6e-06,5e-06,0.101341,0.12707100000000002,0.12661
CC11CM53SCR9e20fd4e3d374539af65dba8760704bd,9e-06,9e-06,0.028779,0.124173,0.032183
CC11CM1SCR6c3863d42cdc4252a89a206df0b7ccb6,8e-06,8e-06,0.207065,0.14741600000000002,0.223997
CC11CM1SCR7334fcb69f8c425884f35363fbc61dcd,5e-06,8e-06,0.091736,0.070441,0.248103
CC11CM7SCRe8731afec79d4ed29a8e463701d5c9d9,1e-06,6e-06,0.092785,0.122268,0.041131
CC11CM9SCRc51c927c2c364a77b56770387c4c38b1,0.342037,0.335845,0.423144,0.189272,0.145885
CC11CM51SCR93f6c0bf833340c99c1d02712a0e8d03,1e-06,1e-06,1e-05,0.017077000000000002,0.059983
CC11CM67SCR20a16740d6414785842ca2416d065d17,7.000000000000002e-06,7.000000000000002e-06,0.135012,0.16428099999999998,0.274672
CC11CM83SCR3063c12bd4584db88038e003d4a89cef,7.000000000000002e-06,0.137668,0.021522,0.155496,0.204297
CC11CM43SCR36761b2c84044c079c0029fb48300ad7,8e-06,0.211817,0.32391,0.285484,0.152062
CC11CM48SCR4b892ba35590442cb8b62a4dd6a5ab21,0.052963,0.129368,0.119658,0.183879,0.248747
CC11CM91SCR324bb75c74174348856f23e66d62c352,0.127159,0.110501,0.07861,0.051603,0.234471
CC11CM69SCR39bddb90ddae4a49878c383baa0439e7,8e-06,8e-06,0.207065,0.14741600000000002,0.223997
CC11CM31SCR6750a93948034cdb87b0d2b671776bdd,0.046558,0.205307,0.264883,0.27018400000000004,0.17666600000000002
CC11CM25SCRc3f8c7f2ce6b48b3b926b7ddf8967efc,8e-06,6e-06,0.04545,0.106848,0.031095
CC11CM14SCR349948c81d814c3db2e02f0a99b7b4d1,8e-06,0.211817,0.32391,0.285484,0.152062
CC11CM76SCRc0c44828bcd0470baa58ff1c55527b77,0.322536,0.251795,0.277094,0.218651,0.287244
CC11CM99SCRc6d140d5668e40bf8fdf7a0bc4a87f3f,0.322536,0.251795,0.277094,0.218651,0.287244
CC11CM45SCR8e122f4f777847c6a8b8e94998be1d04,9e-06,0.241491,0.319576,0.242551,0.166767
CC11CM72SCR78ef3a4b31174aab9dd12564d38f6cfe,8e-06,7.000000000000002e-06,0.128631,0.27867,0.230364
CC11CM15SCR6685efec75fc49bd82e4395ae0336ce8,8e-06,0.24622800000000006,0.13231600000000002,0.121247,0.03057
CC11CM53SCRc88b510d3e6148a3b012bbf53d223fd1,1e-06,9e-06,8e-06,0.017225999999999998,0.060698
CC11CM88SCRaf25108aa0594a3ea30ff058f1005eb2,5e-06,0.025904000000000003,7.000000000000002e-06,0.115871,0.035289999999999995
CC11CM60SCR49f3b9da40d84d3a9500ab72f40373a4,9e-06,0.053624,0.104113,0.157021,0.257075
CC11CM8SCR2ce7a711a9654b1c8250f450d93ff11b,1e-05,0.073918,0.036449,0.14033900000000002,0.23034
CC11CM62SCR8c0c113f41d64e99853cd926a44a9a36,5e-06,0.159948,0.418953,0.30856500000000003,0.060922
CC11CM31SCRb772d4e7d86549c28f3976c2a0471342,1e-06,5e-06,0.06376699999999999,0.045911,0.075324
CC11CM86SCR11609a98ede149eaa15e8cbd88fd9efe,5e-06,1e-06,0.026907,0.017013,0.055315
CC11CM7SCR5bde64dae3f34b9baabcdccdae3734f9,0.079959,0.104432,0.072774,0.128631,0.113358
CC11CM59SCR3d40475a466640389729a4f5068c178e,7.000000000000002e-06,0.061038,0.019634,0.068713,0.168754
CC11CM85SCR700cd438ff244d208bb17a02790d145c,9e-06,0.053624,0.104113,0.157021,0.257075
CC11CM27SCRa4b63737dbae4d26911903a691ae0086,7.000000000000002e-06,0.014936,0.009562,0.027348,0.241997
CC11CM81SCR82ebd8b70fb24dd2b24d665179f4cecc,8e-06,0.112065,0.070325,0.078696,0.033437
CC11CM55SCR6ffc64ce09114ffc99b34410e8157a3f,6e-06,1e-05,0.249521,0.277821,0.21667600000000006
