,RDP_10398,RDP_5224,RDP_1017,RDP_92,RDP_12
CC11CM0,0.0,0.0,0.0,0.032522825360805065,0.0
CC11CM1,0.01265256565914755,0.01265256565914755,0.01265256565914755,0.025961413958306357,0.01757277397260274
CC11CM2,0.0021957127011793466,0.0021957127011793466,0.0021957127011793466,0.0021957127011793466,0.0021957127011793466
CC11CM3,0.009952013352806176,0.009952013352806176,0.009952013352806176,0.009952013352806176,0.009952013352806176
CC11CM4,0.006172713753132194,0.006172713753132194,0.01157194060419867,0.006172713753132194,0.006172713753132194
CC11CM5,0.0,0.0,0.0,0.0,0.034870094908311604
CC11CM6,0.0,0.0,0.0,0.0,0.0
CC11CM7,0.005052387460139976,0.005052387460139976,0.005052387460139976,0.005052387460139976,0.005052387460139976
CC11CM8,0.0,0.0,0.0,0.01232798769308579,0.01100705040513522
CC11CM9,0.0,0.0,0.0,0.0,0.0
CC11CM10,0.0,0.0,0.0,0.0,0.007413618561655742
CC11CM11,0.015354379068910453,0.015354379068910453,0.015354379068910453,0.015354379068910453,0.02745983571746719
CC11CM12,0.007804392046162149,0.007804392046162149,0.007804392046162149,0.010016121483176453,0.008369504267824136
CC11CM13,0.0,0.0,0.0,0.0,0.0029318757722351365
CC11CM14,0.0,0.0,0.0,0.0,0.0
CC11CM15,0.00014311123832110072,0.00014311123832110072,0.00014311123832110072,0.05263157894736842,0.00014311123832110072
CC11CM16,0.0,0.0,0.0,0.005681818181818182,0.0383860552472197
CC11CM17,0.010543088017713215,0.010543088017713215,0.010543088017713215,0.010543088017713215,0.010543088017713215
CC11CM18,0.0,0.0,0.0,0.0,0.008099323837093858
CC11CM19,0.0012193634922570418,0.0012193634922570418,0.0012193634922570418,0.03021685033771774,0.0016672088484059858
CC11CM20,0.001822903406487092,0.001822903406487092,0.001822903406487092,0.001822903406487092,0.0069192818686155295
CC11CM21,0.0,0.0,0.0,0.0,0.0
CC11CM22,0.006629365711389891,0.006629365711389891,0.006629365711389891,0.006629365711389891,0.03274409524011629
CC11CM23,0.0,0.0,0.0,0.0,0.0
CC11CM24,0.0,0.0,0.0,0.0,0.010436775438994931
CC11CM25,0.0004290179574659339,0.0004290179574659339,0.0004290179574659339,0.008609326083374527,0.03287177161659091
CC11CM26,0.00800465121107985,0.00800465121107985,0.00800465121107985,0.00800465121107985,0.00800465121107985
CC11CM27,0.0,0.0,0.0,0.0,0.0
CC11CM28,0.0023358690259632875,0.0023358690259632875,0.0023358690259632875,0.0023358690259632875,0.0023358690259632875
CC11CM29,0.005981035740335521,0.005981035740335521,0.005981035740335521,0.007892429114294067,0.007419156240543445
CC11CM30,0.0,0.0,0.0,0.0,0.0
CC11CM31,0.0,0.0,0.0,0.0,0.0017642207676970133
CC11CM32,0.001739448869358235,0.001739448869358235,0.001739448869358235,0.010455678798263885,0.008985563672503355
CC11CM33,0.00019552354000514535,0.00019552354000514535,0.00019552354000514535,0.06804246060526142,0.00019552354000514535
CC11CM34,0.010692788366246257,0.010692788366246257,0.010692788366246257,0.010692788366246257,0.010692788366246257
CC11CM35,0.0,0.0,0.0,0.0,0.0
CC11CM36,0.008075606704511379,0.008075606704511379,0.008075606704511379,0.008075606704511379,0.02480763570617668
CC11CM37,0.0,0.0,0.0,0.0,0.00020211002869962409
CC11CM38,0.0,0.0,0.0,0.0,0.0
CC11CM39,0.0,0.0,0.0,0.0,0.0
CC11CM40,0.0,0.0,0.0,0.002786942355376135,0.026989023903964408
CC11CM41,0.009273840769903762,0.009273840769903762,0.009273840769903762,0.06316816654017131,0.009273840769903762
CC11CM42,0.013066427029427867,0.013066427029427867,0.013066427029427867,0.023330064063771624,0.023105890698183865
CC11CM43,0.0,0.0,0.0,0.0,0.0017475017004133313
CC11CM44,0.0,0.0,0.0,0.0,0.025631388271160252
CC11CM45,0.0,0.0,0.0,0.0,0.0
CC11CM46,4.194279003439309e-05,4.194279003439309e-05,4.194279003439309e-05,4.194279003439309e-05,0.005895815974602639
CC11CM47,0.020096368550946056,0.020096368550946056,0.020096368550946056,0.020096368550946056,0.026589396497037857
CC11CM48,0.0007040150189870717,0.0007040150189870717,0.0007040150189870717,0.0007040150189870717,0.005595335076962655
CC11CM49,0.009466446022756474,0.009466446022756474,0.02074499043818076,0.009466446022756474,0.010505087919663344
CC11CM50,0.0019404783789856404,0.0019404783789856404,0.0019404783789856404,0.0019404783789856404,0.0019404783789856404
CC11CM51,0.0,0.0,0.0,0.0,0.0008684185133961597
CC11CM52,0.0,0.0,0.0,0.05036953077109911,0.0
CC11CM53,0.0,0.0,0.0,0.0,0.0
CC11CM54,0.0071798023249859165,0.0071798023249859165,0.0071798023249859165,0.007644225842811763,0.0071798023249859165
CC11CM55,0.006116986086655607,0.006116986086655607,0.006116986086655607,0.006116986086655607,0.006116986086655607
CC11CM56,0.0,0.0,0.0,0.0,0.029885936404766455
CC11CM57,0.012400133155792277,0.012400133155792277,0.012400133155792277,0.013602183014976982,0.01767227857366935
CC11CM58,0.010423890429958392,0.010423890429958392,0.014965986394557823,0.010423890429958392,0.01084010840108401
CC11CM59,0.0,0.0,0.0,0.006068541264002328,0.0010546341866909301
CC11CM60,0.007384244831556819,0.007384244831556819,0.007384244831556819,0.007384244831556819,0.007384244831556819
CC11CM61,0.0,0.0,0.0,0.0010037770993946292,0.0
CC11CM62,0.0,0.0,0.0,0.0,0.0
CC11CM63,0.0008551881413911061,0.0008551881413911061,0.0008551881413911061,0.0019160211985324092,0.0008551881413911061
CC11CM64,0.0,0.0,0.0,0.007304475391966096,0.014060817393979796
CC11CM65,0.0,0.0,0.0,0.0,0.0
CC11CM66,0.0,0.0,0.0,0.0,0.006909554245698362
CC11CM67,0.0,0.0,0.0,0.012798580751441425,0.0
CC11CM68,0.0,0.0,0.0,0.0,0.0
CC11CM69,0.012061797464456193,0.012061797464456193,0.012061797464456193,0.012061797464456193,0.04514952666673734
CC11CM70,0.006587507299531806,0.006587507299531806,0.006587507299531806,0.006587507299531806,0.006587507299531806
CC11CM71,0.005851123912797921,0.005851123912797921,0.005851123912797921,0.005851123912797921,0.016170076799306182
CC11CM72,0.006553219602118341,0.006553219602118341,0.006553219602118341,0.006553219602118341,0.006885819050055427
CC11CM73,0.00608365796550208,0.00608365796550208,0.00608365796550208,0.04773465367619656,0.008744681941667947
CC11CM74,0.003781022054176798,0.003781022054176798,0.003781022054176798,0.003781022054176798,0.003781022054176798
CC11CM75,0.004661415411994297,0.004661415411994297,0.004661415411994297,0.045081622349377314,0.004661415411994297
CC11CM76,0.0,0.0,0.0,0.0,0.0
CC11CM77,0.0,0.0,0.0,0.0,0.0033210332103321034
CC11CM78,0.013326596349396829,0.013326596349396829,0.013326596349396829,0.05335492624852278,0.013326596349396829
CC11CM79,0.0,0.0,0.0,0.0,0.000174927713694782
CC11CM80,0.0,0.0,0.0,0.0,0.002502913310026853
CC11CM81,0.0010934099060893735,0.0010934099060893735,0.0010934099060893735,0.007486785001748287,0.0010934099060893735
CC11CM82,0.0,0.0,0.0,0.0,0.0
CC11CM83,0.0,0.0,0.0005448381628864315,0.0016160636729087125,0.00024207702083879688
CC11CM84,0.006240585323864859,0.006240585323864859,0.006240585323864859,0.044566067240031274,0.022210563133962923
CC11CM85,0.0,0.0,0.0,0.0,0.0
CC11CM86,0.0,0.0,0.0,0.0,0.003648404206395438
CC11CM87,0.0,0.0,0.0,0.0,0.009816149297856614
CC11CM88,0.0007515004272228456,0.0007515004272228456,0.0007515004272228456,0.0007515004272228456,0.01430494256111685
CC11CM89,0.0,0.0,0.0,0.0,0.0
CC11CM90,0.0,0.0,0.0,0.0,0.0
CC11CM91,0.0,0.0,0.0,0.0,0.03215910066077405
CC11CM92,0.008444974110298348,0.008444974110298348,0.008444974110298348,0.010937628738568015,0.02168097840228988
CC11CM93,0.0,0.0,0.0,0.0,0.008290003967508196
CC11CM94,0.018440963465142644,0.018440963465142644,0.018440963465142644,0.0259302854079504,0.018440963465142644
CC11CM95,0.0,0.0,0.0,0.0,0.022858244606782492
CC11CM96,0.0,0.0,0.0,0.0,0.0
CC11CM97,0.001490280777537797,0.001490280777537797,0.001490280777537797,0.001490280777537797,0.001490280777537797
CC11CM98,0.0021153846153846153,0.0021153846153846153,0.0021153846153846153,0.0021153846153846153,0.009546770565379772
CC11CM99,0.0,0.0,0.0,0.0,0.0
