community,A,A_adcl,B,B_adcl,C,C_adcl,D,D_adcl,E,E_adcl,A_edpl,B_edpl,C_edpl,D_edpl,E_edpl,A_prichness,B_prichness,C_prichness,D_prichness,E_prichness,A_mindistl,B_mindistl,C_mindistl,D_mindistl,E_mindistl
CC11CM0,0.09090909090909091,0.23636363636363636,0.12727272727272726,0.5272727272727272,0.4,0.7818181818181819,0.5849056603773585,0.9636363636363636,0.2545454545454545,0.9818181818181818,0.5454545454545454,0.5454545454545454,0.7818181818181819,0.8181818181818182,0.6181818181818182,0.09090909090909091,0.10909090909090909,0.2545454545454545,0.2,0.23636363636363636,0.03636363636363636,0.18181818181818182,0.03636363636363636,0.10909090909090909,0.34545454545454546
CC11CM1,0.0821917808219178,0.3287671232876712,0.1232876712328767,0.6027397260273972,0.3698630136986301,0.8082191780821918,0.6111111111111112,0.9452054794520548,0.09722222222222222,0.9863013698630136,0.4520547945205479,0.5753424657534246,0.7123287671232876,0.7534246575342466,0.6301369863013698,0.1232876712328767,0.1095890410958904,0.136986301369863,0.1643835616438356,0.3424657534246575,0.0547945205479452,0.1232876712328767,0.1506849315068493,0.2328767123287671,0.3013698630136986
CC11CM2,0.025,0.175,0.15,0.5,0.35,0.8,0.725,0.95,0.25,0.975,0.475,0.475,0.775,0.625,0.775,0.15,0.225,0.2,0.15,0.375,0.0,0.15,0.1,0.25,0.175
CC11CM3,0.05084745762711865,0.2542372881355932,0.0847457627118644,0.5932203389830508,0.288135593220339,0.7796610169491526,0.6610169491525424,0.9322033898305084,0.1864406779661017,0.9830508474576272,0.4915254237288136,0.576271186440678,0.7288135593220338,0.6949152542372882,0.6610169491525424,0.11864406779661017,0.15254237288135594,0.0847457627118644,0.13559322033898305,0.3050847457627119,0.0,0.1016949152542373,0.06779661016949153,0.22033898305084745,0.2542372881355932
CC11CM4,0.0,0.28846153846153844,0.11538461538461539,0.5384615384615384,0.29411764705882354,0.7692307692307693,0.5769230769230769,0.9423076923076923,0.21153846153846154,0.9807692307692307,0.6346153846153846,0.6346153846153846,0.6538461538461539,0.7115384615384616,0.5961538461538461,0.19230769230769232,0.11538461538461539,0.1346153846153846,0.11538461538461539,0.28846153846153844,0.019230769230769232,0.09615384615384616,0.11538461538461539,0.21153846153846154,0.3269230769230769
CC11CM5,0.08196721311475409,0.21311475409836064,0.16393442622950818,0.5409836065573771,0.3442622950819672,0.8032786885245902,0.6229508196721312,0.9836065573770492,0.23728813559322035,1.0,0.5409836065573771,0.639344262295082,0.7213114754098361,0.7213114754098361,0.6721311475409836,0.13114754098360656,0.14754098360655737,0.06557377049180328,0.08196721311475409,0.32786885245901637,0.03278688524590164,0.09836065573770492,0.11475409836065574,0.22950819672131148,0.3114754098360656
CC11CM6,0.037037037037037035,0.2962962962962963,0.09259259259259259,0.6111111111111112,0.3333333333333333,0.8148148148148148,0.7037037037037037,0.9814814814814815,0.2222222222222222,0.9814814814814815,0.5555555555555556,0.7037037037037037,0.7592592592592593,0.7777777777777778,0.6111111111111112,0.16666666666666666,0.16666666666666666,0.12962962962962962,0.18518518518518517,0.2222222222222222,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.3333333333333333
CC11CM7,0.07462686567164178,0.34328358208955223,0.11940298507462686,0.6119402985074627,0.29850746268656714,0.8208955223880597,0.582089552238806,0.9701492537313433,0.208955223880597,0.9850746268656716,0.5671641791044776,0.6716417910447762,0.7313432835820896,0.7611940298507462,0.6119402985074627,0.16417910447761194,0.13432835820895522,0.14925373134328357,0.14925373134328357,0.2537313432835821,0.029850746268656716,0.1044776119402985,0.13432835820895522,0.1791044776119403,0.31343283582089554
CC11CM8,0.07692307692307693,0.2923076923076923,0.13846153846153847,0.5846153846153846,0.2923076923076923,0.8769230769230769,0.640625,0.9538461538461539,0.21875,0.9846153846153847,0.5384615384615384,0.6,0.7538461538461538,0.676923076923077,0.6615384615384615,0.1076923076923077,0.15384615384615385,0.13846153846153847,0.12307692307692308,0.3384615384615385,0.03076923076923077,0.07692307692307693,0.09230769230769231,0.23076923076923078,0.3076923076923077
CC11CM9,0.05263157894736842,0.2807017543859649,0.07017543859649122,0.49122807017543857,0.3157894736842105,0.7894736842105263,0.5964912280701754,0.9473684210526315,0.24561403508771928,0.9824561403508771,0.5964912280701754,0.5614035087719298,0.7719298245614035,0.7894736842105263,0.631578947368421,0.15789473684210525,0.15789473684210525,0.14035087719298245,0.15789473684210525,0.2631578947368421,0.017543859649122806,0.08771929824561403,0.08771929824561403,0.15789473684210525,0.3333333333333333
CC11CM10,0.07575757575757576,0.2727272727272727,0.16666666666666666,0.5303030303030303,0.3787878787878788,0.8181818181818182,0.6515151515151515,0.9393939393939394,0.27692307692307694,1.0,0.5757575757575758,0.5909090909090909,0.7727272727272727,0.7878787878787878,0.6515151515151515,0.19696969696969696,0.18181818181818182,0.13636363636363635,0.15151515151515152,0.2727272727272727,0.015151515151515152,0.10606060606060606,0.09090909090909091,0.12121212121212122,0.30303030303030304
CC11CM11,0.046153846153846156,0.3230769230769231,0.07692307692307693,0.5846153846153846,0.24615384615384617,0.7538461538461538,0.6461538461538462,0.9692307692307692,0.23809523809523808,0.9846153846153847,0.6153846153846154,0.6615384615384615,0.7384615384615385,0.7076923076923077,0.6461538461538462,0.12307692307692308,0.12307692307692308,0.12307692307692308,0.1076923076923077,0.3076923076923077,0.03076923076923077,0.09230769230769231,0.046153846153846156,0.2153846153846154,0.3230769230769231
CC11CM12,0.046875,0.28125,0.15625,0.59375,0.375,0.796875,0.6666666666666666,0.953125,0.2698412698412698,0.984375,0.515625,0.609375,0.703125,0.78125,0.609375,0.15625,0.15625,0.109375,0.15625,0.234375,0.0,0.125,0.046875,0.140625,0.328125
