community,A,A_adcl
CC11CM0,0.09090909090909091,
CC11CM1,0.0821917808219178,
CC11CM2,0.025,
CC11CM3,0.05084745762711865,
CC11CM4,0.0,
CC11CM5,0.08196721311475409,
CC11CM6,0.037037037037037035,
CC11CM7,0.07462686567164178,
CC11CM8,0.07692307692307693,
CC11CM9,0.05263157894736842,
CC11CM10,0.07575757575757576,
CC11CM11,0.046153846153846156,
CC11CM12,0.046875,
CC11CM13,0.06349206349206349,
CC11CM14,0.04918032786885246,
CC11CM15,0.046153846153846156,
CC11CM16,0.03076923076923077,
CC11CM17,0.0,
CC11CM18,0.03508771929824561,
CC11CM19,0.07575757575757576,
CC11CM20,0.08928571428571429,
CC11CM21,0.04918032786885246,
CC11CM22,0.043478260869565216,
CC11CM23,0.015873015873015872,
CC11CM24,0.037037037037037035,
CC11CM25,0.034482758620689655,
CC11CM26,0.04477611940298507,
CC11CM27,0.015384615384615385,
CC11CM28,0.05,
CC11CM29,0.07017543859649122,
CC11CM30,0.046153846153846156,
CC11CM31,0.034482758620689655,
CC11CM32,0.03225806451612903,
CC11CM33,0.06779661016949153,
CC11CM34,0.05172413793103448,
CC11CM35,0.1111111111111111,
CC11CM36,0.05263157894736842,
CC11CM37,0.07462686567164178,
CC11CM38,0.03333333333333333,
CC11CM39,0.05555555555555555,
CC11CM40,0.05970149253731343,
CC11CM41,0.06451612903225806,
CC11CM42,0.11290322580645161,
CC11CM43,0.06779661016949153,
CC11CM44,0.031746031746031744,
CC11CM45,0.047619047619047616,
CC11CM46,0.07272727272727272,
CC11CM47,0.07272727272727272,
CC11CM48,0.016129032258064516,
CC11CM49,0.034482758620689655,
CC11CM50,0.06349206349206349,
CC11CM51,0.06666666666666667,
CC11CM52,0.04918032786885246,
CC11CM53,0.05714285714285714,
CC11CM54,0.0847457627118644,
CC11CM55,0.03278688524590164,
CC11CM56,0.058823529411764705,
CC11CM57,0.06060606060606061,
CC11CM58,0.06451612903225806,
CC11CM59,0.05555555555555555,
CC11CM60,0.08163265306122448,
CC11CM61,0.03571428571428571,
CC11CM62,0.07017543859649122,
CC11CM63,0.0784313725490196,
CC11CM64,0.03225806451612903,
CC11CM65,0.017543859649122806,
CC11CM66,0.07692307692307693,
CC11CM67,0.047619047619047616,
CC11CM68,0.06779661016949153,
CC11CM69,0.01694915254237288,
CC11CM70,0.0425531914893617,
CC11CM71,0.06382978723404255,
CC11CM72,0.07407407407407407,
CC11CM73,0.03773584905660377,
CC11CM74,0.12,
CC11CM75,0.03125,
CC11CM76,0.05,
CC11CM77,0.07246376811594203,
CC11CM78,0.07936507936507936,
CC11CM79,0.06153846153846154,
CC11CM80,0.047619047619047616,
CC11CM81,0.08333333333333333,
CC11CM82,0.04918032786885246,
CC11CM83,0.016666666666666666,
CC11CM84,0.12903225806451613,
CC11CM85,0.04918032786885246,
CC11CM86,0.07407407407407407,
CC11CM87,0.0392156862745098,
CC11CM88,0.05,
CC11CM89,0.04838709677419355,
CC11CM90,0.041666666666666664,
CC11CM91,0.0,
CC11CM92,0.03773584905660377,
CC11CM93,0.04918032786885246,
CC11CM94,0.07547169811320754,
CC11CM95,0.08196721311475409,
CC11CM96,0.06,
CC11CM97,0.07017543859649122,
CC11CM98,0.06451612903225806,
CC11CM99,0.05357142857142857,
CC11CM0,,0.23636363636363636
CC11CM1,,0.3287671232876712
CC11CM2,,0.175
CC11CM3,,0.2542372881355932
CC11CM4,,0.28846153846153844
CC11CM5,,0.21311475409836064
CC11CM6,,0.2962962962962963
CC11CM7,,0.34328358208955223
CC11CM8,,0.2923076923076923
CC11CM9,,0.2807017543859649
CC11CM10,,0.2727272727272727
CC11CM11,,0.3230769230769231
CC11CM12,,0.28125
CC11CM13,,0.4126984126984127
CC11CM14,,0.26229508196721313
CC11CM15,,0.2923076923076923
CC11CM16,,0.2923076923076923
CC11CM17,,0.14285714285714285
CC11CM18,,0.3157894736842105
CC11CM19,,0.30303030303030304
CC11CM20,,0.26785714285714285
CC11CM21,,0.29508196721311475
CC11CM22,,0.2898550724637681
CC11CM23,,0.30158730158730157
CC11CM24,,0.37037037037037035
CC11CM25,,0.29310344827586204
CC11CM26,,0.2537313432835821
CC11CM27,,0.24615384615384617
CC11CM28,,0.21666666666666667
CC11CM29,,0.2631578947368421
CC11CM30,,0.26153846153846155
CC11CM31,,0.29310344827586204
CC11CM32,,0.2903225806451613
CC11CM33,,0.2542372881355932
CC11CM34,,0.2413793103448276
CC11CM35,,0.18518518518518517
CC11CM36,,0.2807017543859649
CC11CM37,,0.26865671641791045
CC11CM38,,0.4166666666666667
CC11CM39,,0.2777777777777778
CC11CM40,,0.2835820895522388
CC11CM41,,0.25806451612903225
CC11CM42,,0.3064516129032258
CC11CM43,,0.2542372881355932
CC11CM44,,0.20634920634920634
CC11CM45,,0.3968253968253968
CC11CM46,,0.23636363636363636
CC11CM47,,0.23636363636363636
CC11CM48,,0.25806451612903225
CC11CM49,,0.3275862068965517
CC11CM50,,0.30158730158730157
CC11CM51,,0.2833333333333333
CC11CM52,,0.3442622950819672
CC11CM53,,0.2857142857142857
CC11CM54,,0.2542372881355932
CC11CM55,,0.29508196721311475
CC11CM56,,0.23529411764705882
CC11CM57,,0.36363636363636365
CC11CM58,,0.22580645161290322
CC11CM59,,0.25
CC11CM60,,0.3877551020408163
CC11CM61,,0.32142857142857145
CC11CM62,,0.2631578947368421
CC11CM63,,0.2549019607843137
CC11CM64,,0.27419354838709675
CC11CM65,,0.38596491228070173
CC11CM66,,0.24615384615384617
CC11CM67,,0.20634920634920634
CC11CM68,,0.3050847457627119
CC11CM69,,0.23728813559322035
CC11CM70,,0.2978723404255319
CC11CM71,,0.2553191489361702
CC11CM72,,0.3333333333333333
CC11CM73,,0.2830188679245283
CC11CM74,,0.28
CC11CM75,,0.296875
CC11CM76,,0.25
CC11CM77,,0.2318840579710145
CC11CM78,,0.2698412698412698
CC11CM79,,0.3230769230769231
CC11CM80,,0.23809523809523808
CC11CM81,,0.3333333333333333
CC11CM82,,0.3114754098360656
CC11CM83,,0.3333333333333333
CC11CM84,,0.2903225806451613
CC11CM85,,0.26229508196721313
CC11CM86,,0.24074074074074073
CC11CM87,,0.3137254901960784
CC11CM88,,0.31666666666666665
CC11CM89,,0.27419354838709675
CC11CM90,,0.25
CC11CM91,,0.2542372881355932
CC11CM92,,0.2830188679245283
CC11CM93,,0.22950819672131148
CC11CM94,,0.24528301886792453
CC11CM95,,0.21311475409836064
CC11CM96,,0.24
CC11CM97,,0.21052631578947367
CC11CM98,,0.24193548387096775
CC11CM99,,0.19642857142857142
