,A_adcl,B_adcl,C_adcl,D_adcl,E_adcl,A_edpl,B_edpl,C_edpl,D_edpl,E_edpl,A_mindistl,B_mindistl,C_mindistl,D_mindistl,E_mindistl,A_prichness,B_prichness,C_prichness,D_prichness,E_prichness,community,sourceSeq,seqID,organism,ncbi_tax_id,multiplicity,B_adcl_log,C_adcl_log,D_adcl_log,E_adcl_log
0,7.000000000000002e-06,0.137668,0.021522,0.155496,0.204297,0.0,0.0311159,0.0651027,0.0158443,0.0,6.84752197266e-06,6.5899169921900005e-06,0.00285649562569,9.018188476560001e-06,0.204296637032,1.0,6.0,8.0,6.0,1.0,CC11CM81,NR_041278.1,CC11CM81SCReeb34a221dca4dc5b0ca403cc9ac9bd3,Bacteroides coprocola DSM 17136,470145,136,-0.8611638422022193,-0.8611638422022193,-0.8611638422022193,-0.8611638422022193
1,9e-06,1e-05,0.21874,0.198498,0.294593,0.0,0.0,0.0878357,0.0444123,0.0349538,8.88232421875e-06,9.525817871089999e-06,5.97946289063e-06,6.19445800781e-06,0.0209274862522,1.0,1.0,12.0,5.0,7.0,CC11CM99,NR_133689.1,CC11CM99SCRce2d1fa684f340c68b6f3239c2de2521,Aestuariispira insulae,1461337,822,-4.958607314841775,-4.958607314841775,-4.958607314841775,-4.958607314841775
2,0.19412,0.097577,0.17946700000000002,0.287096,0.215959,0.054320000000000014,0.00723254,0.0627813,0.012352600000000002,0.054546400000000016,8.621875e-06,0.007473980354329998,0.0548954182647,0.052536391774900014,0.0065805806459700005,8.0,3.0,3.0,4.0,11.0,CC11CM7,NR_113408.1,CC11CM7SCR9e29ef94a3604006b11d4566a917e44b,[Clostridium] propionicum,28446,14,-1.0106480876160997,-1.0106480876160997,-1.0106480876160997,-1.0106480876160997
3,0.05316,0.149998,0.097881,0.112167,0.065455,0.175707,0.0583619,0.011408,0.00582706,0.0,0.0531595464432,7.24995117188e-06,0.00994157544439,5.20693969727e-06,0.06545459315089999,2.0,14.0,6.0,3.0,1.0,CC11CM11,NR_113328.1,CC11CM11SCR22fac7d980eb496c9258d2c043fb6ea0,Parasutterella secunda,626947,1873,-0.8239116362505158,-0.8239116362505158,-0.8239116362505158,-0.8239116362505158
4,7.000000000000002e-06,6e-06,0.126795,0.186934,0.267457,0.0,0.0,0.08077310000000001,0.00282754,0.0702985,7.48822021484e-06,6.21966552734e-06,7.98579101562e-06,0.0251584423756,8.12546386719e-06,1.0,1.0,10.0,3.0,11.0,CC11CM34,NR_042007.1,CC11CM34SCR39303fc7db3e46a0be0bc45364d289ff,Roseburia inulinivorans DSM 16841,622312,204,-5.154901959985743,-5.154901959985743,-5.154901959985743,-5.154901959985743
5,6e-06,9e-06,0.141798,0.120516,0.260624,0.00370813,0.0,0.0154178,0.0,0.0595886,5.72880249023e-06,8.935607910160001e-06,8.19885253906e-06,0.120515693272,5.348828125e-06,5.0,1.0,6.0,1.0,11.0,CC11CM43,HM626177.1.1372,CC11CM43SCR0ec2aedc04494ff6a4b097655e41b702,Blautia stercoris,871664,652,-5.0,-5.0,-5.0,-5.0
6,0.19412,0.097577,0.17946700000000002,0.287096,0.215959,0.054320000000000014,0.00723254,0.0627813,0.012352600000000002,0.054546400000000016,8.621875e-06,0.007473980354329998,0.0548954182647,0.052536391774900014,0.0065805806459700005,8.0,3.0,3.0,4.0,11.0,CC11CM96,NR_113408.1,CC11CM96SCR4906ef0a121445c5955b525f7a111576,[Clostridium] propionicum,28446,339,-1.0106480876160997,-1.0106480876160997,-1.0106480876160997,-1.0106480876160997
7,7.000000000000002e-06,6e-06,0.240063,0.304686,0.278679,0.0,0.0,0.0,0.0164516,0.0562798,6.73505859375e-06,6.310974121090001e-06,0.240063405419,0.034945871195099995,5.348828125e-06,1.0,1.0,1.0,3.0,11.0,CC11CM48,AY136666.1.1483,CC11CM48SCR0158eefeaa2d482ba7fed682ad38ef12,Pseudoflavonifractor capillosus,106588,8,-5.154901959985743,-5.154901959985743,-5.154901959985743,-5.154901959985743
8,0.068275,0.056326,0.007946,0.14688900000000002,0.204038,0.00523015,0.02064,0.000956544,0.0159415,0.0,5.94239501953e-06,6.14703369141e-06,0.00794572273397,0.004038431593179999,0.204038045569,5.0,5.0,2.0,7.0,1.0,CC11CM30,AB547645.1.1493,CC11CM30SCRdc281354d04842df88ca00f0c9c97838,Bacteroides paurosaccharolyticus,732242,1090,-1.249283378857693,-1.249283378857693,-1.249283378857693,-1.249283378857693
9,8e-06,0.056387,0.177335,0.299563,0.285071,0.000127136,0.0,0.0,0.0250907,0.0669421,5.96129150391e-06,0.0563873060319,0.177334618214,6.52707519531e-06,5.348828125e-06,2.0,1.0,1.0,5.0,13.0,CC11CM57,Y18187.1.1550,CC11CM57SCR7b655072dd15474eb5b87989ecc161b5,Flavonifractor plautii,292800,132,-1.2488133089294233,-1.2488133089294233,-1.2488133089294233,-1.2488133089294233
